word,meaning,goroText
project,計画・投影,プロ(pro)がジェット(ject)機の計画を投影する
admit,認める,安堂(ad)の実力を認め(mit)める。
preserve,保存する,触れ(pre)るなその鯖(serv)！
incredible,信じられない,淫(in)乱な栗(cred)。愛撫(ible)で弾けた。
conduct,導く・指揮する,昆(con)布を抱くと(duct)ヌルヌルしてる。
military,軍の,未履(milit)修単位、あり(ary)得ない留年。
powerful,強力な,幅(power)広い振れ(ful)幅をもつ強力な振り子。
careless,不注意な,カレー(care)以外には目もくれず(less)。
equipment,装備,憎い(equip)相手、責めんと(ment)気が済まん！
kindness,親切,金土(kind)で投身、簡単に死ねず(ness)。
artist,芸術家,あー(art)っと驚くイースト(ist)菌の繁殖力！
ability,能力,アヒル(abil)が一(ity)芸、意外な芸能力！
package,包み,パク(pack)っと揚げ(age)もの。
tourism,観光,辛い(tour)人生、泉(ism)の女神に期待。
simplify,単純化する,新聞(simpl)で遺灰(ify)を包む。
quickly,素早く,感染区域(quick)から素早く離(ly)脱。
friendship,友情,不利な遠藤(friend)、渋(ship)い結末。
childhood,幼年期,散る(child)桜、風土(hood)で時期もそれぞれ。
manager,管理者,漫(man)画もグローバル化、英字(age)表記。
performance,演技・成果,婆(per)ちゃん葬(form)り安心(ance)だ。
assistant,助手,明日(as)は我が身。死す(sist)安堂(ant)。
difference,違い,自負(dif)の無い屁(fer)、他人を演ず(ence)る。
photograph,写真,砲塔(photo)がグラ(graph)つく。
phonetic,音声の,本(phon)で教育(ic)。
audience,聴衆,王と(audi)一緒に演習(ence)。
pathetic,哀れな,バス(path)を逃し行(ic)き場なし。
signal,合図,差異(sign)ある(al)合図。
solution,解決,剃る(solu)毛すら無い脱毛症(tion)。
maintain,維持する,姪(main)はこの店の店員(tain)だ。
valuable,価値ある,春(valu)が来たぞ！荒ぶる(able)気持ち。
verify,検証する,ベル(ver)を鳴らし一杯(ify)注文。
convince,納得させる,根(con)気が大事、ビンゴ(vinc)で納得の勝利。
vocal,声の,僕(voc)の映えある(al)声。
terrain,地形,地形に照る(terr)月は愛の(ain)夜に。
memorize,暗記する,暗記しようにも目も(mem)オラ(or)無いぜ(ize)。
innovation,革新,印(in)象悪いぞ！昇(nov)君はいつでも冷笑(ation)。
primitive,原始的な,ブルマ(prim)が一(it)番。原始的な愛撫(ive)。
corrupt,腐敗した,凍る(cor)空気に腐敗したラップ(rupt)で追い打ち。
section,区分,セクシー(sect)ないい女(ion)！
sequence,連続,連続節句(sequ)で演出(ence)。
sonic,音の,音も出ない損(son)なバイク(ic)。
tactile,触覚の,炊くと(tact)炒る(ile)では米の触覚が違う。
urban,都市の,肋(urb)骨って案(an)外頑丈！
survive,生き延びる,猿(sur)でビビ(viv)るも生き延びる。
capture,捕獲する,株(cap)の売れ(ure)残りを捕獲！
affect,影響する,アフロ(af)頭のフェイント(fect)が勝敗に影響。
fluent,流暢な,古い(flu)遠藤(ent)、流暢さを失う。
fundamental,基本的な,ふんどし(fund)踊り、面倒(ment)なアル(al)コール。
collect,集める,懲り(col)ずに集める、れっきと(lect)した会合。
local,地元の,碌(loc)なことない地元あるある(al)。
illuminate,照らす,イル(il)カが居る峰(lumin)、栄(ate)光が照らす。
motion,動き,イチモツ(mot)にアイロン(ion)、動くんじゃねえぞ！
depend,頼る,出(de)前の弁当(pend)に頼る。
complicate,複雑にする,ゴム(com)のプリクラ(plic)なんか当て(ate)にすんな！
tension,緊張,展示(tens)室から異音(ion)、緊張が走る。
testify,証言する,テスト(test)前に意外(ify)な証言！
development,発展,出(de)っ歯でベロ(velop)出し、面倒(ment)な奴だ。
