"word","meaning","goroText"
"childhood","幼年期","チャイルドシート(child)とフード(hood)付き服、幼年期だ"
"manager","管理者","マンガ(man)家が栄(age)冠、アー(er)っと驚く管理者"
"performance","演技・成果","パー(per)のフォーマット(form)通り、安(ance)心の演技"
"assistant","助手","アス(as)リートのシスター(sist)役、アン(ant)は新人"
"difference","違い","ディフ(dif)ェンダーとフェリー(fer)、エン(ence)ほど違う"
"photograph","写真","フォトフレーム(photo)にグラフィック(graph)、写真が並ぶ"
"phonetic","音声の","フォンデュ(phon)を行(ic)う音声案内"
"audience","聴衆","オードブル(audi)にエン(ence)を添え、聴衆が沸く"
"pathetic","哀れな","パス(path)を落とし行(ic)き場なく哀れだ"
"signal","合図","サイン(sign)を送りある(al)合図をする"
"solution","解決","ソルト(solu)を振ると、症(tion)状が解決した"
"maintain","維持する","メインディッシュ(main)のテイクアウト(tain)を維持する"
"valuable","価値ある","バルコニー(valu)であぶる(able)価値ある肉"
"verify","検証する","ベル(ver)を鳴らしファイル(ify)を検証する"
"convince","納得させる","紺(con)のビンゴ(vinc)で相手を納得させる"
"vocal","声の","ボクシング(voc)であるある(al)、声の応援"
"terrain","地形","テルマエ(terr)から見た愛(ain)しい地形"
"memorize","暗記する","メモ(mem)帳を追(or)い、合図(ize)して暗記する"
"innovation","革新","印(in)を残しノブ(nov)を回し、A賞(ation)級の革新"
"primitive","原始的な","プリマ(prim)が板(it)の上で、いー(ive)ほど原始的"
"corrupt","腐敗した","コルク(cor)がラップ(rupt)の中で腐敗した"
"section","区分","セクシー(sect)なイオン(ion)水の区分棚"
"sequence","連続","セキュリティ(sequ)のエン(ence)が連続する"
"sonic","音の","ソング(son)を行(ic)う音の実験室"
"tactile","触覚の","タクシー(tact)でいる(ile)間の触覚を試す"
"urban","都市の","ウーバー(urb)であん(an)パンを運ぶ都市の朝"
"survive","生き延びる","サーフィン(sur)でビビ(viv)りつつ生き延びる"
"capture","捕獲する","キャップ(cap)を被り湯屋(ure)で虫を捕獲する"
"affect","影響する","アフロ(af)頭のフェイント(fect)が勝敗に影響する"
"fluent","流暢な","フルート(flu)の音、円(ent)らかで流暢だ"
"fundamental","基本的な","ファンタ(fund)とメントール(ment)がある(al)基本の店"
"collect","集める","コルク(col)栓をレクチャー(lect)しつつ集める"
"local","地元の","ロケ(loc)地であるある(al)、地元の噂話"
"illuminate","照らす","いる(il)かがルミネ(lumin)で栄(ate)光を照らす"
"motion","動き","モツ(mot)煮込みがイオン(ion)の力で動く"
"depend","頼る","出(de)口でペンダント(pend)の光に頼る"
"complicate","複雑にする","紺(com)のプリクラ(plic)が栄(ate)冠を複雑にする"
"tension","緊張","テンション(tens)高くイオン(ion)水を飲み緊張"
"testify","証言する","テスト(test)前にファイル(ify)を出して証言する"
"development","発展","出(de)口でベロ(velop)出し、メントール(ment)味が発展"
