"word","meaning","phonetic","memoryTip","morphemes","goroText","bareLength"
"inspector","検査官","ɪnˈspektər","in(中へ)+spect(見る)+or(〜する人・もの)で、検査官、と覚える。","in:イン:中へ:ラテン語 in-:ɪn;spect:スペクト:見る:ラテン語 specere:spɛkt;or:オア:〜する人・もの:ラテン語 -or:ɔːr","印(in)にスペクトル(spect)当て、応(or)対する検査官","17"
"transportation","輸送","ˌtrænspɔːrˈteɪʃən","trans(越えて・移す)+port(運ぶ)+ation(名詞化（〜すること）)で、輸送、と覚える。","trans:トランス:越えて・移す:ラテン語 trans-:trænz;port:ポート:運ぶ:ラテン語 portare:pɔːrt;ation:エーション:名詞化（〜すること）:ラテン語 -atio:eɪʃən","トランス(trans)ポーター(port)がA賞(ation)級の輸送力","16"
"deportation","国外追放","ˌdiːpɔːrˈteɪʃən","de(下へ・離れて・否定)+port(運ぶ)+ation(名詞化（〜すること）)で、国外追放、と覚える。","de:ディ:下へ・離れて・否定:ラテン語 de-:dɪ;port:ポート:運ぶ:ラテン語 portare:pɔːrt;ation:エーション:名詞化（〜すること）:ラテン語 -atio:eɪʃən","出(de)口でポート(port)に乗せ、A判(ation)で国外追放","17"
"portable","持ち運びできる","ˈpɔːrtəbl","port(運ぶ)+able(〜できる)で、持ち運びできる、と覚える。","port:ポート:運ぶ:ラテン語 portare:pɔːrt;able:アブル:〜できる:ラテン語 -abilis:əbl","ポート(port)を上ぶる(able)ほど軽く持ち運べる","16"
"important","重要な","ɪmˈpɔːrtənt","im(中へ／〜でない)+port(運ぶ)+ant(〜する人・もの)で、重要な、と覚える。","im:イム:中へ／〜でない:ラテン語 in- の異形:ɪm;port:ポート:運ぶ:ラテン語 portare:pɔːrt;ant:アント:〜する人・もの:ラテン語 -ans:ənt","芋(im)をポート(port)に積む案(ant)件、重要だ","14"
"report","報告する","rɪˈpɔːrt","re(再び・戻す)+port(運ぶ)で、報告する、と覚える。","re:リ:再び・戻す:ラテン語 re-:riː;port:ポート:運ぶ:ラテン語 portare:pɔːrt","離(re)島からポート(port)経由で状況を報告する","17"
"support","支える","səˈpɔːrt","sup(下から（sub-の異形）)+port(運ぶ)で、支える、と覚える。","sup:サップ:下から（sub-の異形）:ラテン語 sub- の異形:sʌp;port:ポート:運ぶ:ラテン語 portare:pɔːrt","サップ(sup)ボードとポート(port)で体を支える","16"
"reporter","記者","rɪˈpɔːrtər","re(再び・戻す)+port(運ぶ)+er(〜する人・もの)で、記者、と覚える。","re:リ:再び・戻す:ラテン語 re-:riː;port:ポート:運ぶ:ラテン語 portare:pɔːrt;er:アー:〜する人・もの:古英語 -ere:ər","離(re)島のポート(port)に、アー(er)と叫ぶ記者が来た","18"
"express","表現する","ɪkˈspres","ex(外へ)+press(押す)で、表現する、と覚える。","ex:エクス:外へ:ラテン語 ex-:ɛks;press:プレス:押す:ラテン語 premere:prɛs","駅(ex)前でプ(press)ラカードを掲げ表現する","15"
"impress","感銘を与える","ɪmˈpres","im(中へ／〜でない)+press(押す)で、感銘を与える、と覚える。","im:イム:中へ／〜でない:ラテン語 in- の異形:ɪm;press:プレス:押す:ラテン語 premere:prɛs","芋(im)がプ(press)クッと膨らみ、皆に感銘を与えた","18"
"depress","落ち込ませる","dɪˈpres","de(下へ・離れて・否定)+press(押す)で、落ち込ませる、と覚える。","de:ディ:下へ・離れて・否定:ラテン語 de-:dɪ;press:プレス:押す:ラテン語 premere:prɛs","出(de)遅れがプ(press)ツンと心を落ち込ませる","16"
"compress","圧縮する","kəmˈpres","com(共に)+press(押す)で、圧縮する、と覚える。","com:コム:共に:ラテン語 com-:kəm;press:プレス:押す:ラテン語 premere:prɛs","紺(com)色の布をプ(press)ッと圧縮する","12"
"suppress","抑圧する","səˈpres","sup(下から（sub-の異形）)+press(押す)で、抑圧する、と覚える。","sup:サップ:下から（sub-の異形）:ラテン語 sub- の異形:sʌp;press:プレス:押す:ラテン語 premere:prɛs","サッ(sup)とプ(press)ッと感情を抑え込む","13"
"pressure","圧力","ˈpreʃər","press(押す)+ure(〜すること・こと)で、圧力、と覚える。","press:プレス:押す:ラテン語 premere:prɛs;ure:ユア:〜すること・こと:ラテン語 -ura:jʊər","プ(press)ッと油(ure)の圧力が上がる","11"
"expression","表現","ɪkˈspreʃən","ex(外へ)+press(押す)+ion(名詞化（〜すること）)で、表現、と覚える。","ex:エクス:外へ:ラテン語 ex-:ɛks;press:プレス:押す:ラテン語 premere:prɛs;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","駅(ex)でプ(press)ッと異(ion)色の表現をした","13"
"impression","印象","ɪmˈpreʃən","im(中へ／〜でない)+press(押す)+ion(名詞化（〜すること）)で、印象、と覚える。","im:イム:中へ／〜でない:ラテン語 in- の異形:ɪm;press:プレス:押す:ラテン語 premere:prɛs;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","芋(im)がプ(press)クッと異(ion)彩な印象を残す","14"
"depression","うつ・不況","dɪˈpreʃən","de(下へ・離れて・否定)+press(押す)+ion(名詞化（〜すること）)で、うつ・不況、と覚える。","de:ディ:下へ・離れて・否定:ラテン語 de-:dɪ;press:プレス:押す:ラテン語 premere:prɛs;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","出(de)口プ(press)ツンと閉まり、異(ion)様な不況感","16"
"compression","圧縮","kəmˈpreʃən","com(共に)+press(押す)+ion(名詞化（〜すること）)で、圧縮、と覚える。","com:コム:共に:ラテン語 com-:kəm;press:プレス:押す:ラテン語 premere:prɛs;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","紺(com)の袋プ(press)ッと押し、異(ion)論なく圧縮完了","17"
"position","位置","pəˈzɪʃən","pos(置く)+ition(名詞化（〜すること）)で、位置、と覚える。","pos:ポズ:置く:ラテン語 ponere:poʊz;ition:イション:名詞化（〜すること）:ラテン語 -itio:ɪʃən","ポーズ(pos)決めいっしょん(ition)そこで待つ","15"
"proposal","提案","prəˈpoʊzl","pro(前へ・賛成して)+pos(置く)+al(〜に関する（形容詞化）)で、提案、と覚える。","pro:プロ:前へ・賛成して:ラテン語 pro-:proʊ;pos:ポズ:置く:ラテン語 ponere:poʊz;al:アル:〜に関する（形容詞化）:ラテン語 -alis:əl","プロ(pro)がポーズ(pos)決めてアル(al)バムで提案する","18"
"disposal","処分","dɪˈspoʊzl","dis(否定・分離)+pos(置く)+al(〜に関する（形容詞化）)で、処分、と覚える。","dis:ディス:否定・分離:ラテン語 dis-:dɪs;pos:ポズ:置く:ラテン語 ponere:poʊz;al:アル:〜に関する（形容詞化）:ラテン語 -alis:əl","弟子(dis)がポーズ(pos)崩しアル(al)ミ缶を処分した","17"
"composition","作文・構成","ˌkɒmpəˈzɪʃən","com(共に)+pos(置く)+ition(名詞化（〜すること）)で、作文・構成、と覚える。","com:コム:共に:ラテン語 com-:kəm;pos:ポズ:置く:ラテン語 ponere:poʊz;ition:イション:名詞化（〜すること）:ラテン語 -itio:ɪʃən","紺(com)ノートにポーズ(pos)、いっしょん(ition)の作文","17"
"exposition","博覧会・説明","ˌekspəˈzɪʃən","ex(外へ)+pos(置く)+ition(名詞化（〜すること）)で、博覧会・説明、と覚える。","ex:エクス:外へ:ラテン語 ex-:ɛks;pos:ポズ:置く:ラテン語 ponere:poʊz;ition:イション:名詞化（〜すること）:ラテン語 -itio:ɪʃən","駅(ex)前ポーズ(pos)展、いっしょん(ition)説明会","15"
"inclusion","包含","ɪnˈkluːʒən","in(中へ)+clus(閉じる)+ion(名詞化（〜すること）)で、包含、と覚える。","in:イン:中へ:ラテン語 in-:ɪn;clus:クルース:閉じる:ラテン語 claudere:kluːs;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","印(in)をクルーズ(clus)券に、異(ion)存なく全部含める","18"
"exclusion","除外","ɪkˈskluːʒən","ex(外へ)+clus(閉じる)+ion(名詞化（〜すること）)で、除外、と覚える。","ex:エクス:外へ:ラテン語 ex-:ɛks;clus:クルース:閉じる:ラテン語 claudere:kluːs;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","駅(ex)からクルーズ(clus)客を、異(ion)議なく除外した","18"
"conclusion","結論","kənˈkluːʒən","con(共に)+clus(閉じる)+ion(名詞化（〜すること）)で、結論、と覚える。","con:コン:共に:ラテン語 com- の異形:kən;clus:クルース:閉じる:ラテン語 claudere:kluːs;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","紺(con)のクルーズ(clus)会議、異(ion)論なしで結論一致","18"
"convert","変換する","kənˈvɜːrt","con(共に)+vert(向ける)で、変換する、と覚える。","con:コン:共に:ラテン語 com- の異形:kən;vert:ヴァート:向ける:ラテン語 vertere:vɜːrt","紺(con)色をバッと(vert)一瞬で変換する","13"
"invert","逆にする","ɪnˈvɜːrt","in(中へ)+vert(向ける)で、逆にする、と覚える。","in:イン:中へ:ラテン語 in-:ɪn;vert:ヴァート:向ける:ラテン語 vertere:vɜːrt","印(in)鑑をバッと(vert)逆さに押してしまった","16"
"divert","そらす","daɪˈvɜːrt","di(分離・離れて（dis-の異形）)+vert(向ける)で、そらす、と覚える。","di:ディ:分離・離れて（dis-の異形）:ラテン語 dis- の異形:daɪ;vert:ヴァート:向ける:ラテン語 vertere:vɜːrt","ダイ(di)ビング中にバッと(vert)視線をそらす","16"
"conversion","変換・改宗","kənˈvɜːrʒən","con(共に)+vers(向ける)+ion(名詞化（〜すること）)で、変換・改宗、と覚える。","con:コン:共に:ラテン語 com- の異形:kən;vers:ヴァース:向ける:ラテン語 vertere:vɜːrs;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","紺(con)服がバース(vers)デー柄に、異(ion)様な変換だ","17"
"inversion","逆転","ɪnˈvɜːrʒən","in(中へ)+vers(向ける)+ion(名詞化（〜すること）)で、逆転、と覚える。","in:イン:中へ:ラテン語 in-:ɪn;vers:ヴァース:向ける:ラテン語 vertere:vɜːrs;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","印(in)刷がバース(vers)デー逆さ、異(ion)常な逆転現象","18"
"diversion","転換・気晴らし","daɪˈvɜːrʒən","di(分離・離れて（dis-の異形）)+vers(向ける)+ion(名詞化（〜すること）)で、転換・気晴らし、と覚える。","di:ディ:分離・離れて（dis-の異形）:ラテン語 dis- の異形:daɪ;vers:ヴァース:向ける:ラテン語 vertere:vɜːrs;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","ダイ(di)バーがバース(vers)デーで、異(ion)な気晴らし","18"
"occur","起こる","əˈkɜːr","oc(〜に向かって（ob-の異形）)+cur(走る)で、起こる、と覚える。","oc:オク:〜に向かって（ob-の異形）:ラテン語 ob- の異形:ək;cur:カー:走る:ラテン語 currere:kɜːr","オク(oc)にカー(cur)事故がふいに起こる","14"
"recur","再発する","rɪˈkɜːr","re(再び・戻す)+cur(走る)で、再発する、と覚える。","re:リ:再び・戻す:ラテン語 re-:riː;cur:カー:走る:ラテン語 currere:kɜːr","離(re)脱した咳がカー(cur)ッと再発する","14"
"current","現在の・電流","ˈkɜːrənt","curr(走る)+ent(〜する人・もの)で、現在の・電流、と覚える。","curr:カー:走る:ラテン語 currere:kɜːr;ent:エント:〜する人・もの:ラテン語 -ens:ənt","カー(curr)にエンド(ent)まで今の電流が流れる","16"
"currency","通貨","ˈkɜːrənsi","curr(走る)+ency(名詞化（性質・状態）)で、通貨、と覚える。","curr:カー:走る:ラテン語 currere:kɜːr;ency:エンシー:名詞化（性質・状態）:ラテン語 -entia の異形:ənsi","カー(curr)でエン(ency)払い、それが今の通貨","15"
"concurrent","同時に起こる","kənˈkɜːrənt","con(共に)+curr(走る)+ent(〜する人・もの)で、同時に起こる、と覚える。","con:コン:共に:ラテン語 com- の異形:kən;curr:カー:走る:ラテン語 currere:kɜːr;ent:エント:〜する人・もの:ラテン語 -ens:ənt","紺(con)服カー(curr)がエンド(ent)まで同時に走る","15"
"occurrence","出来事","əˈkɜːrəns","oc(〜に向かって（ob-の異形）)+curr(走る)+ence(名詞化（こと・状態）)で、出来事、と覚える。","oc:オク:〜に向かって（ob-の異形）:ラテン語 ob- の異形:ək;curr:カー:走る:ラテン語 currere:kɜːr;ence:エンス:名詞化（こと・状態）:ラテン語 -entia:əns","オク(oc)地でカー(curr)がエン(ence)なく出来事に","15"
"transfer","移す","trænsˈfɜːr","trans(越えて・移す)+fer(運ぶ)で、移す、と覚える。","trans:トランス:越えて・移す:ラテン語 trans-:trænz;fer:ファー:運ぶ:ラテン語 ferre:fɜːr","トランス(trans)状態でファー(fer)コートを移す","16"
"prefer","好む","prɪˈfɜːr","pre(前もって)+fer(運ぶ)で、好む、と覚える。","pre:プリ:前もって:ラテン語 prae-:priː;fer:ファー:運ぶ:ラテン語 ferre:fɜːr","プリ(pre)ンよりファー(fer)コートを好む","14"
"refer","言及する","rɪˈfɜːr","re(再び・戻す)+fer(運ぶ)で、言及する、と覚える。","re:リ:再び・戻す:ラテン語 re-:riː;fer:ファー:運ぶ:ラテン語 ferre:fɜːr","離(re)席してフェリー(fer)の話に言及する","15"
"suffer","苦しむ","ˈsʌfər","suf(下から（sub-の異形）)+fer(運ぶ)で、苦しむ、と覚える。","suf:サフ:下から（sub-の異形）:ラテン語 sub- の異形:sʌf;fer:ファー:運ぶ:ラテン語 ferre:fɜːr","サフ(suf)ァリでフェリー(fer)酔いに苦しむ","15"
"confer","相談する","kənˈfɜːr","con(共に)+fer(運ぶ)で、相談する、と覚える。","con:コン:共に:ラテン語 com- の異形:kən;fer:ファー:運ぶ:ラテン語 ferre:fɜːr","紺(con)服のままフェリー(fer)で船長と相談する","17"
"differ","異なる","ˈdɪfər","dif(分離・異なる方向へ（dis-の異形）)+fer(運ぶ)で、異なる、と覚える。","dif:ディフ:分離・異なる方向へ（dis-の異形）:ラテン語 dis- の異形:dɪf;fer:ファー:運ぶ:ラテン語 ferre:fɜːr","ディフ(dif)ェンダーとフェリー(fer)、実力が異なる","19"
"preference","好み","ˈprefərəns","pre(前もって)+fer(運ぶ)+ence(名詞化（こと・状態）)で、好み、と覚える。","pre:プリ:前もって:ラテン語 prae-:priː;fer:ファー:運ぶ:ラテン語 ferre:fɜːr;ence:エンス:名詞化（こと・状態）:ラテン語 -entia:əns","プリ(pre)ンよりフェリー(fer)を、エン(ence)なく好む","17"
"reference","参照","ˈrefərəns","re(再び・戻す)+fer(運ぶ)+ence(名詞化（こと・状態）)で、参照、と覚える。","re:リ:再び・戻す:ラテン語 re-:riː;fer:ファー:運ぶ:ラテン語 ferre:fɜːr;ence:エンス:名詞化（こと・状態）:ラテン語 -entia:əns","離(re)席しフェリー(fer)本を、エン(ence)なく参照","16"
"conference","会議","ˈkɒnfərəns","con(共に)+fer(運ぶ)+ence(名詞化（こと・状態）)で、会議、と覚える。","con:コン:共に:ラテン語 com- の異形:kən;fer:ファー:運ぶ:ラテン語 ferre:fɜːr;ence:エンス:名詞化（こと・状態）:ラテン語 -entia:əns","紺(con)服でフェリー(fer)甲板、エン(ence)なく会議する","18"
"difference","違い","ˈdɪfərəns","dif(分離・異なる方向へ（dis-の異形）)+fer(運ぶ)+ence(名詞化（こと・状態）)で、違い、と覚える。","dif:ディフ:分離・異なる方向へ（dis-の異形）:ラテン語 dis- の異形:dɪf;fer:ファー:運ぶ:ラテン語 ferre:fɜːr;ence:エンス:名詞化（こと・状態）:ラテン語 -entia:əns","ディフ(dif)ェンダーとフェリー(fer)、エン(ence)ほど違う","19"
"consist","成る","kənˈsɪst","con(共に)+sist(立つ)で、成る、と覚える。","con:コン:共に:ラテン語 com- の異形:kən;sist:シスト:立つ:ラテン語 sistere:sɪst","紺(con)のシスター(sist)、二つの心で成り立つ","16"
"persist","持続する","pərˈsɪst","per(〜を通じて・徹底的に)+sist(立つ)で、持続する、と覚える。","per:パー:〜を通じて・徹底的に:ラテン語 per-:pər;sist:シスト:立つ:ラテン語 sistere:sɪst","パー(per)がシスター(sist)柄の傘を差し続ける","16"
"resist","抵抗する","rɪˈzɪst","re(再び・戻す)+sist(立つ)で、抵抗する、と覚える。","re:リ:再び・戻す:ラテン語 re-:riː;sist:シスト:立つ:ラテン語 sistere:sɪst","離(re)脱兵がシスター(sist)服のまま抵抗する","16"
"insist","主張する","ɪnˈsɪst","in(中へ)+sist(立つ)で、主張する、と覚える。","in:イン:中へ:ラテン語 in-:ɪn;sist:シスト:立つ:ラテン語 sistere:sɪst","印(in)鑑シスター(sist)説だと強く主張する","15"
"assist","手伝う","əˈsɪst","as(〜へ（ad-の異形）)+sist(立つ)で、手伝う、と覚える。","as:アス:〜へ（ad-の異形）:ラテン語 ad- の異形:əs;sist:シスト:立つ:ラテン語 sistere:sɪst","アス(as)リートをシスター(sist)役が手伝う","15"
"resistance","抵抗","rɪˈzɪstəns","re(再び・戻す)+sist(立つ)+ance(名詞化（こと・状態）)で、抵抗、と覚える。","re:リ:再び・戻す:ラテン語 re-:riː;sist:シスト:立つ:ラテン語 sistere:sɪst;ance:アンス:名詞化（こと・状態）:ラテン語 -antia:əns","離(re)脱兵のシスター(sist)服、アン(ance)なき抵抗","16"
"persistence","根気","pərˈsɪstəns","per(〜を通じて・徹底的に)+sist(立つ)+ence(名詞化（こと・状態）)で、根気、と覚える。","per:パー:〜を通じて・徹底的に:ラテン語 per-:pər;sist:シスト:立つ:ラテン語 sistere:sɪst;ence:エンス:名詞化（こと・状態）:ラテン語 -entia:əns","パー(per)がシスター(sist)傘を、エン(ence)まで差す","16"
"assistant","助手","əˈsɪstənt","as(〜へ（ad-の異形）)+sist(立つ)+ant(〜する人・もの)で、助手、と覚える。","as:アス:〜へ（ad-の異形）:ラテン語 ad- の異形:əs;sist:シスト:立つ:ラテン語 sistere:sɪst;ant:アント:〜する人・もの:ラテン語 -ans:ənt","アス(as)リートのシスター(sist)役、アン(ant)は新人","17"
"insistence","主張","ɪnˈsɪstəns","in(中へ)+sist(立つ)+ence(名詞化（こと・状態）)で、主張、と覚える。","in:イン:中へ:ラテン語 in-:ɪn;sist:シスト:立つ:ラテン語 sistere:sɪst;ence:エンス:名詞化（こと・状態）:ラテン語 -entia:əns","印(in)鑑シスター(sist)説、エン(ence)なき強い主張","16"
"consistency","一貫性","kənˈsɪstənsi","con(共に)+sist(立つ)+ency(名詞化（性質・状態）)で、一貫性、と覚える。","con:コン:共に:ラテン語 com- の異形:kən;sist:シスト:立つ:ラテン語 sistere:sɪst;ency:エンシー:名詞化（性質・状態）:ラテン語 -entia の異形:ənsi","紺(con)のシスター(sist)、エン(ency)まで一貫性あり","16"
"reject","拒絶する","rɪˈdʒekt","re(再び・戻す)+ject(投げる)で、拒絶する、と覚える。","re:リ:再び・戻す:ラテン語 re-:riː;ject:ジェクト:投げる:ラテン語 jacere:dʒɛkt","離(re)島でジェット(ject)遊びを拒絶した","14"
"inject","注射する","ɪnˈdʒekt","in(中へ)+ject(投げる)で、注射する、と覚える。","in:イン:中へ:ラテン語 in-:ɪn;ject:ジェクト:投げる:ラテン語 jacere:dʒɛkt","印(in)鑑と一緒にジェット(ject)注射を打つ","15"
"project","計画・投影","ˈprɒdʒekt","pro(前へ・賛成して)+ject(投げる)で、計画・投影、と覚える。","pro:プロ:前へ・賛成して:ラテン語 pro-:proʊ;ject:ジェクト:投げる:ラテン語 jacere:dʒɛkt","プロ(pro)がジェット(ject)機の計画を投影する","16"
"object","物体・反対する","ˈɒbdʒekt","ob(〜に向かって)+ject(投げる)で、物体・反対する、と覚える。","ob:オブ:〜に向かって:ラテン語 ob-:əb;ject:ジェクト:投げる:ラテン語 jacere:dʒɛkt","オブ(ob)ジェット(ject)機のような物体に反対する","18"
"subject","主題","ˈsʌbdʒekt","sub(下に・副次的な)+ject(投げる)で、主題、と覚える。","sub:サブ:下に・副次的な:ラテン語 sub-:sʌb;ject:ジェクト:投げる:ラテン語 jacere:dʒɛkt","サブ(sub)ジェット(ject)機が今日の主題だ","14"
"rejection","拒絶","rɪˈdʒekʃən","re(再び・戻す)+ject(投げる)+ion(名詞化（〜すること）)で、拒絶、と覚える。","re:リ:再び・戻す:ラテン語 re-:riː;ject:ジェクト:投げる:ラテン語 jacere:dʒɛkt;ion:イオン:名詞化（〜すること）:ラテン語 -io:ən","離(re)島のジェット(ject)券、異(ion)論なく拒絶された","18"
